"id","code","name","level_id","parent_id","path"
"55246",NULL,"Ngulilu","5","353","1.15.71.353."
"55247",NULL,"Ngulini","5","331","1.15.67.331."
"55248",NULL,"Ngulini","5","342","1.15.69.342."
"55249",NULL,"Ngulini","5","343","1.15.69.343."
"55250",NULL,"Nguluku","5","348","1.15.70.348."
"55251",NULL,"Ngulukuluni","5","334","1.15.67.334."
"55252",NULL,"Nguluma","5","338","1.15.68.338."
"55253",NULL,"Ngulungu","5","366","1.15.74.366."
"55254",NULL,"Nguluni","5","358","1.15.72.358."
"55255",NULL,"Nguluni","5","360","1.15.73.360."
"55256",NULL,"Nguluuni","5","358","1.15.72.358."
"55257",NULL,"Nguku A","5","1247","1.43.250.1247."
"55258",NULL,"Ngumano","5","355","1.15.72.355."
"55259",NULL,"Nguku","5","1246","1.43.250.1246."
"55260",NULL,"Nguka Imwe","5","339","1.15.68.339."
"55261",NULL,"Ngooni","5","333","1.15.67.333."
"55262",NULL,"Ngooni","5","338","1.15.68.338."
"55263",NULL,"Ngooni","5","342","1.15.69.342."
"55264",NULL,"Ngooni","5","354","1.15.72.354."
"55265",NULL,"Ngootoni","5","336","1.15.68.336."
"55266",NULL,"Ngope","5","1248","1.43.250.1248."
"55267",NULL,"Ngope Kotoke","5","1250","1.43.250.1250."
"55268",NULL,"Ngoro","5","1248","1.43.250.1248."
"55269",NULL,"Ngoseni","5","370","1.15.74.370."
"55270",NULL,"Ngosi","5","365","1.15.74.365."
"55271",NULL,"Ngouni A","5","367","1.15.74.367."
"55272",NULL,"Ngouni B","5","367","1.15.74.367."
"55273",NULL,"Ngovovoni","5","334","1.15.67.334."
"55274",NULL,"Ngovu","5","352","1.15.71.352."
"55275",NULL,"Ngrokippi","5","627","1.23.125.627."
"55276",NULL,"Ngu Nziu","5","352","1.15.71.352."
"55277",NULL,"Ngueni","5","343","1.15.69.343."
"55278",NULL,"Nguka Imwe","5","343","1.15.69.343."
"55279",NULL,"Nyandago","5","1231","1.43.247.1231."
"55280",NULL,"Nthangani","5","335","1.15.67.335."
"55281",NULL,"Nthangathini","5","352","1.15.71.352."
"55282",NULL,"Nyamagara","5","1249","1.43.250.1249."
