id,parentid,level,name
13615213,5550020,4,Rhoda (Nakuru West)
13615000,23400,4,Rhamu (Mandera North)
13614997,23400,4,Rhamu Dimtu (Mandera North)
13612404,82,4,Ravine (Koibatek)
6592506,114,4,Ramisi (Msambweni)
13615895,52345915,4,Railways (Kisumu Central)
13612226,1741073,4,Ragana-oruba (Suna West)
13613742,2891590,4,Racecourse (Kesses)
13617047,45819,4,Rabai/Kisurutini (Rabai)
24199427,62848,4,Purko (Kajiado Central)
13616226,123,4,Pumwani (Kamukunji)
6592414,74,4,Puma (Kinango)
26407644,73,4,Port Reitz (Changamwe)
13613933,146,4,Porro (Samburu Central)
6592443,3573993,4,Pongwe/Kikokeni (Lunga Lunga)
26407646,6458924,4,Pipeline (Embakasi South)
13614026,23397,4,Parklands/Highridge (Westlands)
13615619,23396,4,Pangani (Starehe)
13613441,60,4,Ongata Rongai (Kajiado North)
13617413,113830,4,Ombeyi (Muhoroni)
13612691,132,4,Olposimoru (Narok North)
13612686,132,4,Olorropil (Narok North)
13614304,274809,4,Oloosirkon/Sholinke (Kajiado East)
13613440,60,4,Oloolua (Kajiado North)
13610220,133,4,Ololulung'a (Narok South)
13615846,64601,4,Ololmasani (Transmara East)
13612678,132,4,Olokurto (Narok North)
13615920,91,4,Ol-moran (Laikipia West)
13612241,129,4,Ol'lessos (Nandi Hills)
13613437,60,4,Olkeri (Kajiado North)
13612507,125,4,Olkaria (Naivasha)
13655318,59,4,Oldo/Nyiro (Isiolo)
13618315,113,4,Obbu (Moyale)
13612256,51969,4,Nzoia (Likuyani)
13613359,98,4,Nzaui/Kilili/Kalamba (Makueni)
13617136,70087,4,Nzambani (Kitui East)
13615978,63433,4,Nyota (Kuresoi North)
13613777,148,4,Nyiro (Samburu North)
13615409,124,4,Nyayo Highrise (Langata)
13617029,1741135,4,Nyatieko (Kitutu Chache South)
13609422,31,4,Nyansiongo (Borabu)
13615032,84,4,Nyanmosense/Komosoko (Kuria West)
13621447,63144,4,Nyangores (Chepalungu)
26407669,66432,4,Nyangati (Kirinyaga South)
13615556,99209,4,Nyanduma (Lari)
13617001,55213,4,Nyamasibi (Nyaribari Masaba)
13610645,134,4,Nyamaiya (Nyamira)
13615891,52345915,4,Nyalenda B (Kisumu Central)
13615890,79,4,Nyalenda A (Kisumu East)
13617028,1741135,4,Nyakoe (Kitutu Chache South)
13613420,57,4,Nyaki West (Imenti North)
13617965,274686,4,Nyakio (Kinangop)
13610083,57,4,Nyaki East (Imenti North)
13615274,1480070,4,Nyadhuna (Kabete)
13616962,54405,4,Nyacheki (Bobasi)
13616531,83,4,Nyabasi West (Kuria East)
13618333,83,4,Nyabasi East (Kuria East)
13617170,121,4,Nuu (Mwingi Central)
15361031,71633,4,Ntunene (Igembe North)
13610064,57,4,Ntima West (Imenti North)
13616535,83,4,Ntimaru West (Kuria East)
13616536,83,4,Ntimaru East (Kuria East)
13610059,57,4,Ntima East (Imenti North)
13612058,107,4,Nthawa (Mbeere North)
13612492,406263,4,North West Kisumu (Kisumu West)
13612328,144,4,North Uyoma (Rarieda)
13614709,45418,4,North Ugenya (Ugenya)
13615435,80,4,North Seme (Seme)
13614897,30,4,North Sakwa (Bondo)
13615137,274789,4,North Sakwa (Awendo)
13615145,53971,4,North Nyakach (Nyakach)
13618551,23525,4,North Maragoli (Sabatia)
13617963,274686,4,North Kinangop (Kinangop)
13634480,54144,4,North Karachuonyo (Karachuonyo)
13614092,97310,4,North Kanyamkago (Uriri)
13614271,145,4,North Kamagambo (Rongo)
13613731,23404,4,North Kadem (Nyatike)
13614813,71631,4,North Horr (North Horr)
13615853,45417,4,North Gem (Gem)
13615418,45,4,North East Bunyore (Emuhaya)
13613681,150,4,North Alego (Alego Usonga)
13609639,58,4,Nkuene (Imenti South)
13612481,198074,4,Nkondi (Tharaka South)
13615955,72172,4,Nkomo (Tigania West)
13612671,132,4,Nkareta (Narok North)
13613436,60,4,Nkaimurunya (Kajiado North)
13612431,66430,4,Njukiine (Kirinyaga East)
13613145,62876,4,Njoro (Njoro)
13614174,23398,4,Njiru (Kasarani)
13612895,3129987,4,Njia (Igembe Central)
13616290,274686,4,Njabani/Kiburu (Kinangop)
13617188,23499,4,Nguutani (Mwingi West)
13618352,500873,4,Nguumo (Kibwezi West)
13618350,500873,4,Nguu/Masumba (Kibwezi West)
13617166,121,4,Nguni (Mwingi Central)
13613432,60,4,Ngong (Kajiado North)
13775693,87,4,Ngomeni (Mwingi North)
13612488,159,4,Ngoliba (Thika Town)
13612440,153,4,Ngolia (Voi)
13615835,89,4,Ngobit (Laikipia East)
15434345,118,4,Nginda (Muranga South)
13613838,5206201,4,Nginda (Manyatta)
13611790,249509,4,Ngewa (Githunguri)
13907239,173,4,Ngeria (Kapseret)
13907435,2891589,4,Ngenyilel (Turbo)
13611840,49,4,Ngenda (Gatundu South)
13614378,6458860,4,Ngei (Mathare)
13612347,70,4,Ngecha Tigoni (Limuru)
13612429,66430,4,Ngariama (Kirinyaga East)
13655268,59,4,Ngare Mara (Isiolo)
13615609,23396,4,Ngara (Starehe)
13614460,79041,4,Ng'araria (Kandara)
13589692,6458693,4,Ngando (Dagoretti South)
