,id,name,level,parent,children_url
7581,56953,Bulla Handu,Village,12450,/clts/user/loadUnitDashboard?id=56953
7582,56950,Bulla Ingirir,Village,12450,/clts/user/loadUnitDashboard?id=56950
7583,56952,Bulla Luku,Village,12450,/clts/user/loadUnitDashboard?id=56952
7584,56954,Bulla Mogore,Village,12450,/clts/user/loadUnitDashboard?id=56954
7585,53730,Ward Unassigned,Ward,12445,/clts/user/loadUnitDashboard?id=53730
7586,54115,Unassigned,Village,53730,/clts/user/loadUnitDashboard?id=54115
7587,12464,Wajir South,Subcounty,8692,/clts/user/loadUnitDashboard?id=12464
7588,12471,Benane,Ward,12464,/clts/user/loadUnitDashboard?id=12471
7589,57059, Bulla Chief,Village,12471,/clts/user/loadUnitDashboard?id=57059
7590,57058, Bulla Masajid-simbir Bul,Village,12471,/clts/user/loadUnitDashboard?id=57058
7591,57091,Bulla Abaq,Village,12471,/clts/user/loadUnitDashboard?id=57091
7592,57056,Bulla Arablow,Village,12471,/clts/user/loadUnitDashboard?id=57056
7593,57057,Bulla Arablow,Village,12471,/clts/user/loadUnitDashboard?id=57057
7594,57075,Bulla Banane,Village,12471,/clts/user/loadUnitDashboard?id=57075
7595,57067,Bulla Birta,Village,12471,/clts/user/loadUnitDashboard?id=57067
7596,57076,Bulla Borehole,Village,12471,/clts/user/loadUnitDashboard?id=57076
7597,57082,Bulla Borehole-dhagahley,Village,12471,/clts/user/loadUnitDashboard?id=57082
7598,57083,Bulla Borehole-dhagahley,Village,12471,/clts/user/loadUnitDashboard?id=57083
7599,57063,Bulla Buruka,Village,12471,/clts/user/loadUnitDashboard?id=57063
7600,57047,Bulla Central,Village,12471,/clts/user/loadUnitDashboard?id=57047
7601,57074,Bulla Central-biyamadow,Village,12471,/clts/user/loadUnitDashboard?id=57074
7602,57066,Bulla Central-dhagahley,Village,12471,/clts/user/loadUnitDashboard?id=57066
7603,57061,Bulla Central-sala,Village,12471,/clts/user/loadUnitDashboard?id=57061
7604,57094,Bulla Central-sarif,Village,12471,/clts/user/loadUnitDashboard?id=57094
7605,57090,Bulla Daidai,Village,12471,/clts/user/loadUnitDashboard?id=57090
7606,57060,Bulla Dam,Village,12471,/clts/user/loadUnitDashboard?id=57060
7607,57052,Bulla Dayday,Village,12471,/clts/user/loadUnitDashboard?id=57052
7608,57053,Bulla Dayday,Village,12471,/clts/user/loadUnitDashboard?id=57053
7609,57064,Bulla Dispensary,Village,12471,/clts/user/loadUnitDashboard?id=57064
7610,57072,Bulla Dispensary-biyamathow,Village,12471,/clts/user/loadUnitDashboard?id=57072
